Age,Occupation,Gender,Worth,Product.Type,MaritalStatus,Location,Buy.Status
37,Civil service,M,117000,Savings,M,OGUN,Y
39,Civil service,M,117000,Savings,S,LAGOS,Y
36,Civil service,F,117000,Savings,M,LAGOS,Y
48,Civil service,M,117000,Savings,M,NASARAWA,Y
36,Civil service,M,117000,Savings,M,LAGOS,Y
34,Civil service,F,117000,Savings,M,LAGOS,Y
43,Civil service,M,117000,Savings,M,OGUN,N
30,Civil service,M,117000,Savings,M,LAGOS,Y
31,Civil service,M,117000,Savings,S,LAGOS,Y
27,Civil service,M,117000,Savings,S,LAGOS,Y
37,Student,M,117000,Savings,M,LAGOS,Y
56,Civil service,M,117000,Savings,M,LAGOS,Y
34,Civil service,M,117000,Savings,M,OGUN,Y
32,Civil service,M,117000,Savings,S,LAGOS,Y
48,Civil service,M,117000,Savings,M,LAGOS,Y
48,Civil service,M,117000,Savings,M,LAGOS,Y
32,Civil service,F,117000,Savings,M,LAGOS,Y
38,Civil service,F,117000,Savings,M,OGUN,Y
35,Civil service,F,117000,Savings,M,OGUN,Y
33,Civil service,F,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
37,Civil service,M,117000,Savings,M,LAGOS,Y
37,Civil service,M,117000,Savings,M,LAGOS,Y
27,Civil service,M,117000,Savings,M,LAGOS,Y
34,Civil service,M,117000,Savings,M,LAGOS,Y
37,Civil service,M,117000,Savings,M,LAGOS,Y
40,Civil service,M,117000,Savings,M,OGUN,Y
40,Civil service,M,117000,Savings,M,OGUN,Y
47,Civil service,M,117000,Savings,M,LAGOS,Y
39,Civil service,M,117000,Savings,M,LAGOS,Y
34,Enterprenuer,F,117000,Savings,S,LAGOS,Y
35,Civil service,F,117000,Savings,S,LAGOS,Y
44,Civil service,M,117000,Savings,M,LAGOS,Y
43,Civil service,M,117000,Savings,M,LAGOS,Y
47,Civil service,F,117000,Savings,M,LAGOS,Y
39,Civil service,M,117000,Savings,M,ONDO,Y
40,Civil service,M,117000,Savings,M,LAGOS,Y
47,Civil service,M,117000,Savings,M,LAGOS,Y
47,Civil service,M,117000,Savings,M,OGUN,Y
47,Civil service,M,117000,Savings,M,OGUN,Y
34,Civil service,M,117000,Savings,M,LAGOS,Y
46,Civil service,M,117000,Savings,M,LAGOS,Y
40,Civil service,M,117000,Savings,M,LAGOS,Y
43,Civil service,F,117000,Savings,M,LAGOS,Y
40,Civil service,M,117000,Savings,M,LAGOS,Y
29,Civil service,M,117000,Savings,S,LAGOS,N
29,Civil service,M,117000,Savings,S,LAGOS,Y
39,Civil service,M,117000,Savings,S,LAGOS,Y
49,Civil service,M,117000,Savings,M,LAGOS,Y
30,Civil service,F,117000,Savings,S,DELTA,Y
33,Enterprenuer,M,117000,Savings,M,LAGOS,N
41,Civil service,F,117000,Savings,M,LAGOS,N
41,Civil service,F,117000,Savings,M,LAGOS,N
46,Civil service,M,117000,Savings,M,LAGOS,Y
53,Civil service,M,117000,Savings,M,LAGOS,Y
41,Civil service,F,117000,Savings,M,LAGOS,Y
41,Civil service,F,117000,Savings,M,LAGOS,Y
47,Civil service,M,117000,Savings,M,LAGOS,N
41,Civil service,M,117000,Savings,M,LAGOS,Y
29,Civil service,F,117000,Savings,S,LAGOS,Y
40,Civil service,M,117000,Savings,M,LAGOS,Y
37,Civil service,M,117000,Savings,M,LAGOS,Y
35,Civil service,M,117000,Savings,M,BENUE,Y
47,Civil service,M,117000,Savings,M,LAGOS,Y
37,Civil service,M,117000,Savings,M,LAGOS,N
37,Civil service,M,117000,Savings,M,LAGOS,Y
47,Civil service,M,117000,Savings,M,LAGOS,Y
38,Civil service,M,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
43,Civil service,M,117000,Savings,M,LAGOS,Y
51,Civil service,M,117000,Savings,M,LAGOS,Y
44,Civil service,M,117000,Savings,M,OGUN,Y
29,Civil service,F,117000,Savings,S,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,N
36,Civil service,F,117000,Savings,M,LAGOS,N
36,Civil service,F,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,Y
42,Civil service,M,117000,Savings,M,LAGOS,N
45,Civil service,M,117000,Savings,M,LAGOS,Y
45,Civil service,M,117000,Savings,M,LAGOS,Y
36,Professional,M,117000,Savings,M,BENUE,Y
